Orientations,Spatial Frequencies,Temporal Frequencies,Contrasts
0.0,0.08,0.5,0.25
0.0,0.08,0.5,0.5
0.0,0.08,0.5,1.0
0.0,0.08,1.0,0.25
0.0,0.08,1.0,0.5
0.0,0.08,1.0,1.0
0.0,0.08,2.0,0.25
0.0,0.08,2.0,0.5
0.0,0.08,2.0,1.0
0.0,0.08,4.0,0.25
0.0,0.08,4.0,0.5
0.0,0.08,4.0,1.0
0.0,0.08,8.0,0.25
0.0,0.08,8.0,0.5
0.0,0.08,8.0,1.0
0.0,0.08,16.0,0.25
0.0,0.08,16.0,0.5
0.0,0.08,16.0,1.0
0.0,0.08,32.0,0.25
0.0,0.08,32.0,0.5
0.0,0.08,32.0,1.0
90.0,0.08,0.5,0.25
90.0,0.08,0.5,0.5
90.0,0.08,0.5,1.0
90.0,0.08,1.0,0.25
90.0,0.08,1.0,0.5
90.0,0.08,1.0,1.0
90.0,0.08,2.0,0.25
90.0,0.08,2.0,0.5
90.0,0.08,2.0,1.0
90.0,0.08,4.0,0.25
90.0,0.08,4.0,0.5
90.0,0.08,4.0,1.0
90.0,0.08,8.0,0.25
90.0,0.08,8.0,0.5
90.0,0.08,8.0,1.0
90.0,0.08,16.0,0.25
90.0,0.08,16.0,0.5
90.0,0.08,16.0,1.0
90.0,0.08,32.0,0.25
90.0,0.08,32.0,0.5
90.0,0.08,32.0,1.0
180.0,0.08,0.5,0.25
180.0,0.08,0.5,0.5
180.0,0.08,0.5,1.0
180.0,0.08,1.0,0.25
180.0,0.08,1.0,0.5
180.0,0.08,1.0,1.0
180.0,0.08,2.0,0.25
180.0,0.08,2.0,0.5
180.0,0.08,2.0,1.0
180.0,0.08,4.0,0.25
180.0,0.08,4.0,0.5
180.0,0.08,4.0,1.0
180.0,0.08,8.0,0.25
180.0,0.08,8.0,0.5
180.0,0.08,8.0,1.0
180.0,0.08,16.0,0.25
180.0,0.08,16.0,0.5
180.0,0.08,16.0,1.0
180.0,0.08,32.0,0.25
180.0,0.08,32.0,0.5
180.0,0.08,32.0,1.0
270.0,0.08,0.5,0.25
270.0,0.08,0.5,0.5
270.0,0.08,0.5,1.0
270.0,0.08,1.0,0.25
270.0,0.08,1.0,0.5
270.0,0.08,1.0,1.0
270.0,0.08,2.0,0.25
270.0,0.08,2.0,0.5
270.0,0.08,2.0,1.0
270.0,0.08,4.0,0.25
270.0,0.08,4.0,0.5
270.0,0.08,4.0,1.0
270.0,0.08,8.0,0.25
270.0,0.08,8.0,0.5
270.0,0.08,8.0,1.0
270.0,0.08,16.0,0.25
270.0,0.08,16.0,0.5
270.0,0.08,16.0,1.0
270.0,0.08,32.0,0.25
270.0,0.08,32.0,0.5
270.0,0.08,32.0,1.0
